RNCID,CellID,Latitude,Longitude,Azimuth,Downtilt
6182,41235,31.294312,121.206155,235.0,4.0
6188,26050,31.288649,121.211928,115.0,6.0
6188,25633,31.270705,121.210333,0.0,8.0
6188,27378,31.289647,121.208284,170.0,0.0
6182,13666,31.287846,121.191709,120.0,6.0
6188,21329,31.280386,121.203915,60.0,14.0
6188,25761,31.278733,121.224621,10.0,4.0
6188,26051,31.288649,121.211928,240.0,8.0
6182,41139,31.289351,121.219323,240.0,0.0
6188,20865,31.277705,121.205655,10.0,5.0
6188,27379,31.289647,121.208284,280.0,2.0
6182,13698,31.287846,121.191709,120.0,6.0
6188,25859,31.282383,121.233647,240.0,6.0
6182,41233,31.294312,121.206155,350.0,4.0
6188,27394,31.289402,121.208105,120.0,4.0
6188,27361,31.288361,121.211591,0.0,0.0
6188,21331,31.280386,121.203915,300.0,8.0
6188,27314,31.289371,121.219271,0.0,0.0
6182,13394,31.295884,121.196365,115.0,6.0
6188,25105,31.276588,121.211975,0.0,5.0
6188,25089,31.276588,121.211975,340.0,10.0
6188,22673,31.289531,121.213001,0.0,0.0
6188,27395,31.289402,121.208105,240.0,4.0
6188,26049,31.288649,121.211928,0.0,8.0
6188,27377,31.289647,121.208284,80.0,0.0
6188,27393,31.289402,121.208105,350.0,4.0
6151,14542,31.276411,121.29599,-1.0,-1.0
6188,41154,31.277603,121.217258,-1.0,-1.0
5198,16057,31.293876,121.221136,-1.0,-1.0
6182,41503,31.290893,121.220505,-1.0,-1.0
5198,16237,31.282024,121.223069,-1.0,-1.0
5198,38197,31.29532,121.198321,-1.0,-1.0
6188,40957,31.279433,121.198241,-1.0,-1.0
6182,40789,31.295138,121.193621,-1.0,-1.0
6188,41122,31.2893,121.216448,-1.0,-1.0
6182,44754,31.291805,121.212896,-1.0,-1.0
5198,16058,31.281873,121.220639,-1.0,-1.0
5198,49663,31.282112,121.221488,-1.0,-1.0
6182,44775,31.291293,121.223129,-1.0,-1.0
5198,16519,31.304538,121.21814,-1.0,-1.0
5198,20609,31.276284,121.220501,-1.0,-1.0
6182,44771,31.287199,121.22292,-1.0,-1.0
6182,44772,31.290824,121.222617,-1.0,-1.0
6188,41148,31.288788,121.218285,-1.0,-1.0
6188,41123,31.286137,121.218509,-1.0,-1.0
5198,25312,31.281802,121.217402,-1.0,-1.0
5198,64092,31.302692,121.23006,-1.0,-1.0
6188,41152,31.286106,121.215012,-1.0,-1.0
6188,41127,31.274399,121.233326,-1.0,-1.0
6188,41092,31.2808,121.217871,-1.0,-1.0
6188,41094,31.276852,121.218479,-1.0,-1.0
6182,41607,31.293412,121.218675,-1.0,-1.0
5198,16059,31.284987,121.209767,-1.0,-1.0
5198,20608,31.257603,121.221072,-1.0,-1.0
5198,41518,31.278703,121.191743,-1.0,-1.0
6188,41149,31.280418,121.214295,-1.0,-1.0
5198,36811,31.27847,121.210909,-1.0,-1.0
6188,41102,31.280844,121.221804,-1.0,-1.0
6182,40819,31.285283,121.200112,-1.0,-1.0
6188,41076,31.275301,121.220772,-1.0,-1.0
5198,64581,31.274067,121.246342,-1.0,-1.0
5198,17029,31.293837,121.221816,-1.0,-1.0
6188,41146,31.285875,121.209638,-1.0,-1.0
5198,32914,31.245564,121.184069,-1.0,-1.0
6182,44757,31.291614,121.213913,-1.0,-1.0
6188,41124,31.282261,121.212407,-1.0,-1.0
6188,41055,31.287692,121.216674,-1.0,-1.0
6182,44770,31.287403,121.223233,-1.0,-1.0
6188,41150,31.285646,121.2048,-1.0,-1.0
6182,41581,31.306504,121.198969,-1.0,-1.0
6188,41075,31.284386,121.223293,-1.0,-1.0
5198,38198,31.28681,121.206769,-1.0,-1.0
